Gene ID	Gene Name	Description	GO	KEGG	NFkB	ReactomePathway	ReactomeReaction
CSN2	CSN2	Casein beta	GO:0004857 GO:0005215 GO:0005509 GO:0005576 GO:0005615 GO:0006810 GO:0006816 	 	 	 	 
CDX1	CDX1	Caudal type homeobox transcription factor 1	GO:0003700 GO:0005634 GO:0006355 GO:0007275 GO:0007389 GO:0009887 GO:0043565 	 	 	 	 
RFC2	RFC2	none	 	 	 	 	 
ACADVL	ACADVL	"Acyl-Coenzyme A dehydrogenase, very long chain"	GO:0004466 GO:0005739 GO:0006118 GO:0006629 GO:0006631 GO:0006635 GO:0008152 GO:0015980 GO:0050660 	hsa00120 hsa00624 	 	73923 77286 77289 77305 	77299
PROL3	PROL3	none	 	 	 	 	 
NR1I3	NR1I3	"Nuclear receptor subfamily 1, group I, member 3"	GO:0003677 GO:0003700 GO:0003707 GO:0003713 GO:0004872 GO:0004879 GO:0004882 GO:0005515 GO:0005634 GO:0005829 GO:0006350 GO:0006355 GO:0007165 GO:0008270 GO:0016481 GO:0043565 GO:0046872 	 	 	 	 
ALKBH	ALKBH	none	 	 	 	 	 
ZBTB33	ZBTB33	Zinc finger and BTB domain containing 33	GO:0003677 GO:0005515 GO:0005622 GO:0005634 GO:0006350 GO:0006355 GO:0008270 GO:0016055 GO:0046872 	 	 	 	 
MAPRE3	MAPRE3	"Microtubule-associated protein, RP/EB family, member 3"	GO:0000004 GO:0005083 GO:0005874 GO:0007049 GO:0007067 GO:0008017 GO:0008372 GO:0051301 	 	 	 	 
PKNOX1	PKNOX1	PBX/knotted 1 homeobox 1	GO:0003700 GO:0003704 GO:0003705 GO:0005515 GO:0005634 GO:0005667 GO:0006355 GO:0006357 GO:0043565 	 	 	 	 
VIL1	VIL1	Villin 1	GO:0003779 GO:0005509 GO:0005856 GO:0005903 GO:0006461 GO:0007010 GO:0008290 GO:0051014 GO:0051016 GO:0051017 	 	 	 	 
OLIG2	OLIG2	Oligodendrocyte lineage transcription factor 2	GO:0000122 GO:0003677 GO:0003705 GO:0005515 GO:0005634 GO:0005737 GO:0006355 GO:0007275 GO:0007399 GO:0030528 GO:0042055 GO:0042803 	 	 	 	 
SPA17	SPA17	Sperm autoantigenic protein 17	GO:0007165 GO:0007283 GO:0007338 GO:0007339 GO:0008603 GO:0016020 	 	 	 	 
ANKRD7	ANKRD7	Ankyrin repeat domain 7	GO:0003700 GO:0006355 GO:0008584 	 	 	 	 
OSIL	OSIL	none	 	 	 	 	 
NAB1	NAB1	NGFI-A binding protein 1 (EGR1 binding protein 1)	GO:0005634 GO:0006350 GO:0006355 GO:0016481 GO:0016564 	 	 	 	 
FGF5	FGF5	Fibroblast growth factor 5	GO:0000074 GO:0005615 GO:0007267 GO:0007399 GO:0008083 GO:0008283 GO:0008543 GO:0010001 	hsa04010 hsa04810 	 	 	 
RHD	RHD	"Rh blood group, D antigen"	GO:0005887 GO:0016020 	 	 	 	 
F10	F10	Coagulation factor X	GO:0003804 GO:0004252 GO:0004263 GO:0004295 GO:0005509 GO:0005576 GO:0005615 GO:0006508 GO:0007596 GO:0008233 	hsa04610 	 	109582 140834 140837 140875 140877 159740 159763 159782 159854 163841 	140664 140686 140700 140736 140769 140777 140825 158164 159733 159757 159819 
MYOM2	MYOM2	"Myomesin (M-protein) 2, 165kDa"	GO:0005200 GO:0005856 GO:0005863 GO:0006941 GO:0007517 GO:0008307 	 	 	 	 
MFAP5	MFAP5	Microfibrillar associated protein 5	GO:0001527 GO:0005201 GO:0005578 GO:0005615 GO:0030023 	 	 	 	 
RMSA1	RMSA1	none	 	 	 	 	 
BMPR1A	BMPR1A	"Bone morphogenetic protein receptor, type IA"	GO:0000166 GO:0000287 GO:0004872 GO:0005024 GO:0005524 GO:0006468 GO:0007179 GO:0016020 GO:0016021 GO:0016740 GO:0030145 	hsa04060 hsa04350 	 	 	 
GLI2	GLI2	GLI-Kruppel family member GLI2	GO:0003700 GO:0003713 GO:0005622 GO:0005634 GO:0006350 GO:0006355 GO:0006366 GO:0007165 GO:0008270 GO:0009887 GO:0046872 	hsa04340 	 	 	 
CRYGA	CRYGA	"Crystallin, gamma A"	GO:0001654 GO:0005212 GO:0007601 	 	 	 	 
MOBP	MOBP	Myelin-associated oligodendrocyte basic protein	GO:0005625 GO:0005739 GO:0007399 GO:0019911 	 	 	 	 
ENTPD1	ENTPD1	Ectonucleoside triphosphate diphosphohydrolase 1	GO:0000287 GO:0005509 GO:0005605 GO:0005886 GO:0005887 GO:0006200 GO:0007155 GO:0007186 GO:0007267 GO:0007596 GO:0009181 GO:0016021 GO:0016787 GO:0017110 GO:0017111 GO:0019735 GO:0030168 	hsa00230 hsa00240 	 	 	 
GLI3	GLI3	GLI-Kruppel family member GLI3 (Greig cephalopolysyndactyly syndrome)	GO:0000060 GO:0003700 GO:0005515 GO:0005622 GO:0005634 GO:0005737 GO:0006350 GO:0006355 GO:0006366 GO:0007165 GO:0007420 GO:0008270 GO:0009653 GO:0009953 GO:0016481 GO:0017053 GO:0030324 GO:0030326 GO:0045596 GO:0046872 GO:0048558 GO:0048754 	hsa04340 	 	 	 
GNAL	GNAL	"Guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type"	GO:0000166 GO:0003924 GO:0004871 GO:0005525 GO:0007165 GO:0007186 GO:0007190 GO:0007608 	hsa04020 hsa04740 	 	 	 
FABP2	FABP2	"Fatty acid binding protein 2, intestinal"	GO:0005319 GO:0005504 GO:0006631 GO:0006810 GO:0007586 	 	 	 	 
CTNNA2	CTNNA2	"Catenin (cadherin-associated protein), alpha 2"	GO:0005198 GO:0005200 GO:0005515 GO:0005913 GO:0007155 GO:0015629 GO:0030027 GO:0045296 	hsa04520 hsa04530 hsa04670 	 	 	 
DRD1	DRD1	Dopamine receptor D1	GO:0001584 GO:0001590 GO:0004872 GO:0004930 GO:0004952 GO:0005623 GO:0005624 GO:0005886 GO:0005887 GO:0007165 GO:0007187 GO:0007190 GO:0007191 GO:0007204 GO:0007268 GO:0007399 GO:0007617 GO:0007626 GO:0019226 GO:0042493 	hsa04020 hsa04080 hsa04540 	 	 	 
COL5A1	COL5A1	"Collagen, type V, alpha 1"	GO:0005198 GO:0005201 GO:0005578 GO:0005581 GO:0005588 GO:0005615 GO:0005737 GO:0006817 GO:0007155 GO:0008201 	hsa01430 hsa04510 hsa04512 	 	 	 
PAPPA	PAPPA	"Pregnancy-associated plasma protein A, pappalysin 1"	GO:0004175 GO:0005576 GO:0005615 GO:0006508 GO:0007565 GO:0008237 GO:0008270 GO:0016020 GO:0030154 GO:0046872 	 	 	 	 
IL18R1	IL18R1	Interleukin 18 receptor 1	GO:0004872 GO:0004888 GO:0004908 GO:0005615 GO:0005886 GO:0006955 GO:0007165 GO:0016021 	hsa04060 	 	 	 
SIAT8A	SIAT8A	none	 	 	 	 	 
P2RY2	P2RY2	"Purinergic receptor P2Y, G-protein coupled, 2"	GO:0001584 GO:0004872 GO:0005887 GO:0006873 GO:0007165 GO:0007200 GO:0016020 GO:0016021 GO:0045028 	hsa04080 	 	 	 
FOLH1	FOLH1	Folate hydrolase (prostate-specific membrane antigen) 1	GO:0004180 GO:0005624 GO:0005887 GO:0006508 GO:0008237 GO:0008270 GO:0016020 GO:0016805 GO:0043275 GO:0046872 	 	 	 	 
ADCY2	ADCY2	Adenylate cyclase 2 (brain)	GO:0000287 GO:0004016 GO:0005886 GO:0006171 GO:0007188 GO:0007190 GO:0007242 GO:0009190 GO:0016020 GO:0016021 GO:0016849 GO:0030425 	hsa00230 hsa04020 hsa04540 hsa04912 	 	 	 
DPF1	DPF1	"D4, zinc and double PHD fingers family 1"	GO:0003676 GO:0003677 GO:0005515 GO:0005622 GO:0005634 GO:0006350 GO:0006355 GO:0006917 GO:0008270 GO:0046872 	 	 	 	 
VRK1	VRK1	Vaccinia related kinase 1	GO:0000166 GO:0004674 GO:0005524 GO:0005634 GO:0006468 GO:0016740 GO:0046777 	 	 	 	 
ACVR2	ACVR2	none	 	 	 	 	 
APBB1	APBB1	"Amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)"	GO:0001540 GO:0005634 GO:0007050 GO:0007165 GO:0007409 GO:0008134 GO:0030027 GO:0030048 GO:0030308 GO:0030426 GO:0035035 GO:0045202 GO:0045449 GO:0045749 GO:0050760 GO:0050821 	hsa05010 	 	 	 
PIGC	PIGC	"Phosphatidylinositol glycan, class C"	GO:0003824 GO:0005783 GO:0005789 GO:0006506 GO:0016020 GO:0016021 GO:0016757 GO:0017176 	hsa00563 hsa01031 	 	162710 163125 163841 	162730
HAS1	HAS1	Hyaluronan synthase 1	GO:0001584 GO:0005506 GO:0005578 GO:0005615 GO:0005887 GO:0006024 GO:0006929 GO:0007155 GO:0007186 GO:0009058 GO:0016020 GO:0016021 GO:0016491 GO:0016757 GO:0050501 	 	 	 	 
ITGA4	ITGA4	"Integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)"	GO:0004872 GO:0005509 GO:0007155 GO:0007229 GO:0007507 GO:0008305 GO:0016020 GO:0016021 GO:0016477 GO:0042802 	hsa04510 hsa04512 hsa04514 hsa04640 hsa04670 hsa04810 	 	 	 
MLF1	MLF1	Myeloid leukemia factor 1	GO:0005634 GO:0005737 GO:0005813 GO:0019904 GO:0030097 GO:0030154 	 	 	 	 
GDF10	GDF10	Growth differentiation factor 10	GO:0001501 GO:0005125 GO:0005576 GO:0005615 GO:0007179 GO:0008083 	 	 	 	 
ZNF45	ZNF45	Zinc finger protein 45	GO:0003676 GO:0003677 GO:0003700 GO:0005622 GO:0005634 GO:0006350 GO:0006355 GO:0007275 GO:0008270 GO:0046872 	 	 	 	 
TAF5	TAF5	"TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa"	GO:0003700 GO:0005634 GO:0005669 GO:0006355 	hsa03022 	 	73776 73779 73857 74159 74160 75953 75983 76042 162587 162599 162906 167161 167162 167164 167172 	73946 75095 75850 75856 75861 75862 75864 75866 75869 75873 75949 109636 109637 109638 109639 167095 167097 167099 167108 167110 167113 167118 167121 167130 167134 167135 167136 167474 167477 167484 
MYBL1	MYBL1	V-myb myeloblastosis viral oncogene homolog (avian)-like 1	GO:0000398 GO:0003677 GO:0005634 GO:0005681 GO:0006355 GO:0007049 GO:0016563 GO:0030528 GO:0045449 	 	 	 	 
WEE1	WEE1	WEE1 homolog (S. pombe)	GO:0000074 GO:0000166 GO:0004674 GO:0004713 GO:0005524 GO:0005634 GO:0006468 GO:0007049 GO:0007067 GO:0016740 GO:0051301 	hsa04110 	 	69195 69202 69206 69273 69275 69278 69473 69478 69481 69620 75035 156711 	69634 69636 75028 156699 170070 170156 
FMR1	FMR1	Fragile X mental retardation 1	GO:0003723 GO:0003729 GO:0005515 GO:0005625 GO:0005634 GO:0005654 GO:0005730 GO:0005737 GO:0006397 GO:0006406 GO:0006810 GO:0007417 GO:0042788 	 	 	 	 
PLAGL1	PLAGL1	Pleiomorphic adenoma gene-like 1	GO:0003676 GO:0003677 GO:0005622 GO:0005634 GO:0006350 GO:0006355 GO:0006917 GO:0007050 GO:0008270 GO:0045944 GO:0046872 	 	 	 	 
CCM1	CCM1	none	 	 	 	 	 
CRYBB1	CRYBB1	"Crystallin, beta B1"	GO:0005212 GO:0007601 	 	 	 	 
RNF2	RNF2	Ring finger protein 2	GO:0000278 GO:0003682 GO:0005515 GO:0005634 GO:0005694 GO:0006350 GO:0006355 GO:0006512 GO:0008270 GO:0009948 GO:0010003 GO:0016604 GO:0016874 GO:0046872 	 	 	 	 
PHKA1	PHKA1	"Phosphorylase kinase, alpha 1 (muscle)"	GO:0004689 GO:0005516 GO:0005975 GO:0005977 GO:0005980 GO:0006091 GO:0008607 GO:0016020 GO:0031177 	hsa04020 hsa04910 	 	70172 70221 70326 71387 71408 	71541
MAS1	MAS1	MAS1 oncogene	GO:0001584 GO:0004872 GO:0004945 GO:0005887 GO:0007165 GO:0007186 GO:0008283 GO:0009653 GO:0016020 GO:0016021 	 	 	 	 
STK4	STK4	Serine/threonine kinase 4	GO:0000166 GO:0000287 GO:0004674 GO:0004713 GO:0005515 GO:0005524 GO:0005634 GO:0005737 GO:0006468 GO:0006915 GO:0007165 GO:0007243 GO:0009408 GO:0016740 GO:0042802 GO:0043065 GO:0046983 	hsa04010 	 	 	 
CDS1	CDS1	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1	GO:0000287 GO:0004142 GO:0004605 GO:0005783 GO:0006629 GO:0007165 GO:0007601 GO:0008654 GO:0016020 GO:0016021 GO:0016740 	hsa00564 hsa04070 	 	 	 
OGG1	OGG1	8-oxoguanine DNA glycosylase	GO:0003684 GO:0004519 GO:0005622 GO:0005634 GO:0005654 GO:0005739 GO:0005975 GO:0006284 GO:0008017 GO:0008372 GO:0008534 GO:0016798 GO:0016829 	 	 	73884 73894 73927 73929 73930 73933 110330 110331 110357 110362 110373 110381 	110235 110236 110243 110244 110354 
GPR24	GPR24	none	 	 	 	 	 
CAMK2D	CAMK2D	Calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	GO:0000082 GO:0000166 GO:0001558 GO:0004674 GO:0004685 GO:0005516 GO:0005524 GO:0005954 GO:0006468 GO:0006816 GO:0016740 GO:0046777 	hsa04020 hsa04310 hsa04720 hsa04740 hsa04912 	 	 	 
F5	F5	"Coagulation factor V (proaccelerin, labile factor)"	GO:0005201 GO:0005507 GO:0005509 GO:0005576 GO:0005581 GO:0007155 GO:0007596 GO:0016491 	hsa04610 	 	75178 76005 109582 114608 114611 140875 140877 	114615 140664 140686 140696 141026 
KCNJ9	KCNJ9	"Potassium inwardly-rectifying channel, subfamily J, member 9"	GO:0005244 GO:0005267 GO:0005624 GO:0006811 GO:0006813 GO:0015467 GO:0016020 GO:0016021 GO:0030955 	 	 	 	 
PROX1	PROX1	Prospero-related homeobox 1	GO:0001709 GO:0001945 GO:0003677 GO:0003704 GO:0005634 GO:0006355 GO:0007275 GO:0007398 GO:0008285 GO:0009887 GO:0030528 GO:0045446 	 	 	 	 
KLRC1	KLRC1	"Killer cell lectin-like receptor subfamily C, member 1"	GO:0004888 GO:0005529 GO:0005887 GO:0007166 GO:0016020 GO:0019735 	hsa04612 hsa04650 	 	 	 
MATN3	MATN3	Matrilin 3	GO:0001501 GO:0005201 GO:0005509 GO:0005518 GO:0005578 GO:0030198 	 	 	 	 
OPN1MW	OPN1MW	"Opsin 1 (cone pigments), medium-wave-sensitive (color blindness, deutan)"	GO:0001584 GO:0005887 GO:0007165 GO:0007186 GO:0007601 GO:0007602 GO:0009881 GO:0016020 GO:0018298 GO:0050896 	 	 	 	 
GCKR	GCKR	Glucokinase (hexokinase 4) regulator	GO:0000060 GO:0001678 GO:0004857 GO:0005515 GO:0005529 GO:0005634 GO:0005975 GO:0030234 	 	 	70153 70326 71387 71408 170822 	170796 170799 170810 170824 
HIST1H2BJ	HIST1H2BJ	"Histone 1, H2bj"	GO:0000786 GO:0003677 GO:0005634 GO:0005694 GO:0006334 GO:0007001 	 	 	 	 
FGF9	FGF9	Fibroblast growth factor 9 (glia-activating factor)	GO:0000074 GO:0005615 GO:0006606 GO:0007165 GO:0007267 GO:0008083 GO:0008201 GO:0008283 GO:0008284 GO:0008543 GO:0008584 GO:0030154 GO:0042472 	hsa04010 hsa04810 	 	 	 
AKAP5	AKAP5	A kinase (PRKA) anchor protein 5	GO:0005516 GO:0005886 GO:0006605 GO:0007165 GO:0007268 GO:0051018 	 	 	 	 
TCF2	TCF2	"Transcription factor 2, hepatic; LF-B3; variant hepatic nuclear factor"	GO:0003700 GO:0005634 GO:0005667 GO:0006355 GO:0009952 GO:0016563 GO:0030902 GO:0043565 GO:0045893 GO:0045941 	hsa04950 	 	 	 
ESRRB	ESRRB	Estrogen-related receptor beta	GO:0003700 GO:0003707 GO:0005496 GO:0005634 GO:0006350 GO:0006355 GO:0006605 GO:0008270 GO:0043565 GO:0046872 	 	 	 	 
ZNF10	ZNF10	Zinc finger protein 10	GO:0003677 GO:0005622 GO:0005634 GO:0006350 GO:0006355 GO:0008270 GO:0046872 	 	 	 	 
ZNF273	ZNF273	Zinc finger protein 273	GO:0003677 GO:0005622 GO:0005634 GO:0006350 GO:0006355 GO:0008270 GO:0046872 	 	 	 	 
CCR8	CCR8	Chemokine (C-C motif) receptor 8	GO:0001584 GO:0005515 GO:0005887 GO:0006935 GO:0006955 GO:0007155 GO:0007165 GO:0007186 GO:0007204 GO:0015026 GO:0016020 GO:0016021 GO:0016493 	hsa04060 	 	 	 
XK	XK	X-linked Kx blood group (McLeod syndrome)	GO:0005215 GO:0005515 GO:0005615 GO:0006810 GO:0006865 GO:0015171 GO:0016020 GO:0016021 	 	 	 	 
PPARBP	PPARBP	PPAR binding protein	GO:0000119 GO:0001701 GO:0001747 GO:0001889 GO:0001892 GO:0003677 GO:0003682 GO:0003713 GO:0004872 GO:0005515 GO:0005634 GO:0006260 GO:0006350 GO:0006355 GO:0006366 GO:0006367 GO:0006590 GO:0007275 GO:0007420 GO:0016455 GO:0030374 GO:0030521 GO:0035050 GO	 	 	 	 
CACNB4	CACNB4	"Calcium channel, voltage-dependent, beta 4 subunit"	GO:0003746 GO:0005245 GO:0005509 GO:0005624 GO:0005853 GO:0005891 GO:0006414 GO:0006811 GO:0006816 GO:0008331 	hsa04010 	 	 	 
TFDP1	TFDP1	Transcription factor Dp-1	GO:0000074 GO:0003700 GO:0003713 GO:0005634 GO:0005667 GO:0006350 GO:0006355 GO:0006357 GO:0007049 GO:0008283 	hsa04110 hsa04350 	 	69206 69231 69236 69278 113501 113510 	69227 113643 
PDC	PDC	Phosducin	GO:0004859 GO:0005625 GO:0005737 GO:0005829 GO:0007186 GO:0007601 GO:0007602 GO:0009055 GO:0015035 GO:0050896 	hsa04740 	 	 	 
IFNA17	IFNA17	"Interferon, alpha 17"	GO:0005132 GO:0005576 GO:0005615 GO:0006952 GO:0007267 GO:0009615 	hsa04060 hsa04140 hsa04612 hsa04620 hsa04630 hsa04650 	 	 	 
IFNA14	IFNA14	"Interferon, alpha 14"	GO:0005126 GO:0005132 GO:0005576 GO:0005615 GO:0006952 GO:0007267 GO:0009615 	hsa04060 hsa04140 hsa04612 hsa04620 hsa04630 hsa04650 	 	 	 
CEACAM8	CEACAM8	Carcinoembryonic antigen-related cell adhesion molecule 8	GO:0005615 GO:0005886 GO:0005887 GO:0006955 GO:0048503 	 	 	 	 
SLC4A3	SLC4A3	"Solute carrier family 4, anion exchanger, member 3"	GO:0005452 GO:0005624 GO:0005887 GO:0006820 GO:0015297 GO:0016020 GO:0016021 	 	 	 	 
HIST1H1E	HIST1H1E	"Histone 1, H1e"	GO:0000786 GO:0003677 GO:0005515 GO:0005634 GO:0005694 GO:0006334 GO:0007001 GO:0016584 	 	 	 	 
BNC1	BNC1	Basonuclin 1	GO:0003676 GO:0003700 GO:0005622 GO:0005634 GO:0006350 GO:0006355 GO:0008270 GO:0008284 GO:0008544 GO:0046872 	 	 	 	 
LPAL2	LPAL2	"Lipoprotein, Lp(a)-like 2"	GO:0000004 GO:0005554 GO:0008372 	 	 	 	 
DST	DST	Dystonin	GO:0003779 GO:0005178 GO:0005200 GO:0005509 GO:0005515 GO:0005604 GO:0005615 GO:0005737 GO:0005856 GO:0005911 GO:0007010 GO:0007050 GO:0007155 GO:0007229 GO:0008022 GO:0008090 GO:0016023 GO:0030036 GO:0030056 GO:0045104 GO:0051015 	 	 	 	 
HIST1H2APS4	HIST1H2APS4	none	 	 	 	 	 
GIP	GIP	Gastric inhibitory polypeptide	GO:0005179 GO:0005576 GO:0005615 GO:0005625 GO:0007165 	hsa04080 	 	 	 
KCNJ12	KCNJ12	"Potassium inwardly-rectifying channel, subfamily J, member 12"	GO:0005242 GO:0005244 GO:0005267 GO:0005624 GO:0005887 GO:0006811 GO:0006813 GO:0006936 GO:0008016 GO:0008200 GO:0015459 GO:0016020 GO:0016021 GO:0030955 	 	 	 	 
PHEX	PHEX	"Phosphate regulating endopeptidase homolog, X-linked (hypophosphatemia, vitamin D resistant rickets)"	GO:0001503 GO:0004177 GO:0004245 GO:0005886 GO:0005887 GO:0006464 GO:0006508 GO:0007267 GO:0008270 GO:0016021 GO:0046872 	 	 	 	 
NPPC	NPPC	Natriuretic peptide precursor C	GO:0005102 GO:0005179 GO:0005184 GO:0005576 GO:0005615 GO:0006182 GO:0008217 GO:0019229 GO:0050880 	 	 	 	 
AMPH	AMPH	Amphiphysin (Stiff-Man syndrome with breast cancer 128kDa autoantigen)	GO:0005515 GO:0005737 GO:0006897 GO:0007268 GO:0007612 GO:0008021 GO:0015629 GO:0048488 	 	 	 	 
PPBPL2	PPBPL2	Pro-platelet basic protein-like 2	GO:0003700 GO:0005634 GO:0006366 GO:0007585 	 	 	 	 
VGLL1	VGLL1	Vestigial like 1 (Drosophila)	GO:0003713 GO:0005634 GO:0006355 GO:0030528 	 	 	 	 
LHCGR	LHCGR	Luteinizing hormone/choriogonadotropin receptor	GO:0004872 GO:0004964 GO:0005615 GO:0005768 GO:0005886 GO:0005887 GO:0007165 GO:0007187 GO:0008584 GO:0016021 GO:0030539 	hsa04020 hsa04080 	 	 	 
DIO3	DIO3	"Deiodinase, iodothyronine, type III"	GO:0004800 	 	 	 	 
HCG9	HCG9	none	 	 	 	 	 
GAS2L1	GAS2L1	Growth arrest-specific 2 like 1	GO:0005856 GO:0007050 	 	 	 	 
CEBPE	CEBPE	"CCAAT/enhancer binding protein (C/EBP), epsilon"	GO:0003700 GO:0005634 GO:0006350 GO:0006355 GO:0006909 GO:0006952 GO:0030225 GO:0042089 GO:0042742 GO:0043565 GO:0046983 	 	 	 	 
AGC1	AGC1	"Aggrecan 1 (chondroitin sulfate proteoglycan 1, large aggregating proteoglycan, antigen identified by monoclonal antibody A0122)"	GO:0001502 GO:0005509 GO:0005515 GO:0005529 GO:0005540 GO:0005604 GO:0007155 GO:0030166 GO:0030199 	 	 	 	 
IL12RB1	IL12RB1	"Interleukin 12 receptor, beta 1"	GO:0003677 GO:0004907 GO:0005887 GO:0006306 GO:0007166 GO:0008170 GO:0008284 GO:0016020 GO:0016021 GO:0019735 	hsa04060 hsa04630 	 	 	 
HSD11B2	HSD11B2	Hydroxysteroid (11-beta) dehydrogenase 2	GO:0005615 GO:0005783 GO:0005792 GO:0006704 GO:0007267 GO:0008152 GO:0016491 	hsa00140 hsa00150 	 	 	 
HBQ1	HBQ1	"Hemoglobin, theta 1"	GO:0005344 GO:0005506 GO:0005833 GO:0006810 GO:0015671 GO:0019825 GO:0020037 GO:0046872 	 	 	 	 
IFNA16	IFNA16	"Interferon, alpha 16"	GO:0005132 GO:0005576 GO:0005615 GO:0006952 GO:0009615 	hsa04060 hsa04140 hsa04612 hsa04620 hsa04630 hsa04650 	 	 	 
ZNF85	ZNF85	Zinc finger protein 85	GO:0003676 GO:0003700 GO:0003714 GO:0005622 GO:0005634 GO:0006350 GO:0006355 GO:0008270 GO:0046872 	 	 	 	 
CRISP1	CRISP1	Cysteine-rich secretory protein 1	GO:0005576 GO:0005615 GO:0007283 GO:0007342 	 	 	 	 
SPINT3	SPINT3	none	 	 	 	 	 
HAPLN1	HAPLN1	Hyaluronan and proteoglycan link protein 1	GO:0005540 GO:0005578 GO:0005615 GO:0007155 	 	 	 	 
LEPREL2	LEPREL2	Leprecan-like 2	GO:0001584 GO:0004872 GO:0005488 GO:0007165 GO:0007186 GO:0016020 GO:0016021 GO:0016706 GO:0019538 GO:0019797 	 	 	 	 
NPAS2	NPAS2	Neuronal PAS domain protein 2	GO:0003700 GO:0004871 GO:0005634 GO:0006355 GO:0007165 GO:0007417 GO:0042745 GO:0045475 	hsa04710 	 	 	 
GDNF	GDNF	Glial cell derived neurotrophic factor	GO:0000004 GO:0001657 GO:0001759 GO:0001941 GO:0005160 GO:0005615 GO:0006916 GO:0007165 GO:0007169 GO:0007179 GO:0007399 GO:0007422 GO:0008083 GO:0008372 GO:0030432 	 	 	 	 
TRPC1	TRPC1	"Transient receptor potential cation channel, subfamily C, member 1"	GO:0005509 GO:0005886 GO:0005887 GO:0006812 GO:0006816 GO:0015279 GO:0016021 	hsa04020 	 	 	 
SEMA5A	SEMA5A	"Sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A"	GO:0001569 GO:0004872 GO:0007155 GO:0007267 GO:0007399 GO:0007411 GO:0008046 GO:0016020 GO:0016021 GO:0030154 	hsa04360 	 	 	 
EXOSC9	EXOSC9	Exosome component 9	GO:0000175 GO:0000176 GO:0003723 GO:0004527 GO:0005515 GO:0005634 GO:0005730 GO:0006364 GO:0006396 GO:0006955 GO:0016787 	 	 	 	 
HTR2C	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C	GO:0001584 GO:0004872 GO:0004993 GO:0005887 GO:0007165 GO:0007186 GO:0007210 GO:0007268 GO:0007631 GO:0016020 GO:0016021 	hsa04020 hsa04080 hsa04540 	 	 	 
DMP1	DMP1	Dentin matrix acidic phosphoprotein	GO:0001503 GO:0005178 GO:0005509 GO:0005578 GO:0005615 GO:0007155 	 	 	 	 
PCSK5	PCSK5	Proprotein convertase subtilisin/kexin type 5	GO:0004289 GO:0005615 GO:0006508 GO:0007267 GO:0008233 GO:0016021 	 	 	 	 
EDG1	EDG1	"Endothelial differentiation, sphingolipid G-protein-coupled receptor, 1"	GO:0001525 GO:0001619 GO:0004872 GO:0005886 GO:0005887 GO:0007155 GO:0007165 GO:0007186 GO:0007193 GO:0016021 GO:0030155 	hsa04080 	 	 	 
EPX	EPX	Eosinophil peroxidase	GO:0004601 GO:0005506 GO:0005509 GO:0005615 GO:0006979 GO:0016491 GO:0042744 	hsa00360 hsa00680 hsa00940 	 	 	 
CHRM2	CHRM2	"Cholinergic receptor, muscarinic 2"	GO:0001584 GO:0004872 GO:0004981 GO:0005886 GO:0005887 GO:0007165 GO:0007188 GO:0007197 GO:0007207 GO:0007213 GO:0007399 GO:0008016 GO:0045211 	hsa04020 hsa04080 hsa04810 	 	 	 
ZNF135	ZNF135	Zinc finger protein 135	GO:0000004 GO:0003676 GO:0003700 GO:0005554 GO:0005622 GO:0005634 GO:0006350 GO:0006355 GO:0008270 GO:0046872 	 	 	 	 
BMP8B	BMP8B	none	 	 	 	 	 
F13B	F13B	"Coagulation factor XIII, B polypeptide"	GO:0005576 GO:0005615 GO:0007596 	hsa04610 	 	109582 140875 140877 	140599 140847 
HOXD9	HOXD9	Homeobox D9	GO:0003700 GO:0003702 GO:0005634 GO:0006355 GO:0007275 GO:0016563 GO:0043565 	 	 	 	 
CPLX2	CPLX2	Complexin 2	GO:0006836 GO:0006904 GO:0019905 GO:0043303 	 	 	 	 
OPRL1	OPRL1	Opiate receptor-like 1	GO:0001584 GO:0004872 GO:0004983 GO:0005887 GO:0007165 GO:0007186 GO:0007193 GO:0007204 GO:0007600 GO:0015051 GO:0016020 GO:0016021 GO:0045028 	hsa04080 	 	 	 
ZNF145	ZNF145	none	 	 	 	 	 
BRCA2	BRCA2	"Breast cancer 2, early onset"	GO:0000074 GO:0000724 GO:0003676 GO:0003697 GO:0005515 GO:0005615 GO:0005634 GO:0005737 GO:0006281 GO:0006325 GO:0006338 GO:0006974 GO:0007090 GO:0007093 GO:0030141 GO:0045449 	 	 	73888 73890 73894 73951 76003 76010 	83648
HIST1H4F	HIST1H4F	"Histone 1, H4f"	GO:0000786 GO:0003677 GO:0005634 GO:0005694 GO:0006325 GO:0006334 GO:0048015 	 	 	157579 171306 	176700 181450 
SSTR5	SSTR5	Somatostatin receptor 5	GO:0001584 GO:0004872 GO:0004994 GO:0005887 GO:0007165 GO:0007187 GO:0008285 GO:0016020 	hsa04080 	 	 	 
